x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
32.258426966292134,0.0,1,20.085536923187668,-1003.76465,0.12515435
33.37078651685393,0.0,1,20.085536923187668,-981.83606,0.12573904
34.48314606741573,0.0,1,20.085536923187668,-959.87695,0.12634519
35.59550561797753,0.0,1,20.085536923187668,-937.89453,0.12697394
36.70786516853933,0.0,1,20.085536923187668,-915.90265,0.12762626
37.82022471910113,0.0,1,20.085536923187668,-893.9105,0.12830333
38.932584269662925,0.0,1,20.085536923187668,-871.9357,0.12900618
40.044943820224724,0.0,1,20.085536923187668,-849.98706,0.12973614
41.15730337078652,0.0,1,20.085536923187668,-828.08453,0.1304943
42.26966292134831,0.0,1,20.085536923187668,-806.2411,0.131282
43.38202247191011,0.0,1,20.085536923187668,-784.4724,0.13210058
44.49438202247191,0.0,1,20.085536923187668,-762.79736,0.13295138
45.60674157303371,0.0,1,45.0,-741.23193,0.13383584
46.71910112359551,0.0,1,45.0,-719.7934,0.13475546
47.831460674157306,0.0,1,45.0,-698.5025,0.13571167
48.943820224719104,0.0,1,45.0,-677.37445,0.1367062
50.0561797752809,0.0,1,45.0,-656.42993,0.13774055
51.1685393258427,0.0,1,45.0,-635.68665,0.1388165
52.2808988764045,0.0,1,45.0,-615.1634,0.13993573
53.3932584269663,0.0,1,45.0,-594.8782,0.14110011
54.50561797752809,0.0,1,45.0,-574.84814,0.14231154
55.61797752808989,0.0,1,45.0,-555.09406,0.14357173
56.73033707865169,0.0,1,45.0,-535.6294,0.14488292
57.842696629213485,0.0,1,45.0,-516.47327,0.14624694
58.95505617977528,0.0,1,45.0,-497.64053,0.147666
60.06741573033708,0.0,1,45.0,-479.1466,0.1491422
61.17977528089888,0.0,1,45.0,-461.00616,0.15067774
62.29213483146068,0.0,1,45.0,-443.232,0.1522749
63.40449438202248,0.0,1,45.0,-425.83722,0.15393594
64.51685393258427,0.0,1,45.0,-408.83255,0.15566328
65.62921348314607,0.0,1,45.0,-392.2291,0.15745921
66.74157303370787,0.0,1,45.0,-376.03735,0.15932605
67.85393258426967,0.0,1,45.0,-360.26328,0.16126642
68.96629213483146,0.0,1,45.0,-344.91434,0.16328278
70.07865168539327,0.0,1,45.0,-329.99707,0.16537751
71.19101123595506,0.0,1,45.0,-315.51514,0.1675532
72.30337078651685,0.0,1,45.0,-301.47263,0.1698122
73.41573033707866,0.0,1,45.0,-287.87094,0.17215712
74.52808988764045,0.0,1,45.0,-274.71234,0.17459014
75.64044943820225,0.0,1,45.0,-261.9955,0.1771138
76.75280898876404,0.0,1,45.0,-249.71956,0.17973042
77.86516853932585,0.0,1,45.0,-237.88298,0.1824419
78.97752808988764,0.0,1,45.0,-226.48105,0.18525073
80.08988764044945,0.0,1,45.0,-215.5098,0.18815877
81.20224719101124,0.0,1,45.0,-204.96521,0.19116746
82.31460674157304,0.0,1,45.0,-194.84,0.19427875
83.42696629213484,0.0,1,45.0,-185.12808,0.19749372
84.53932584269663,0.0,1,45.0,-175.8216,0.20081356
85.65168539325843,0.0,1,45.0,-166.91171,0.20423928
86.76404494382022,0.0,1,45.0,-158.3905,0.20777097
87.87640449438203,0.0,1,45.0,-150.24805,0.21140894
88.98876404494382,0.0,1,45.0,-142.47499,0.21515262
90.10112359550563,0.0,1,45.0,-135.06047,0.21900147
91.21348314606742,0.0,1,45.0,-127.99463,0.22295389
92.32584269662922,0.0,1,45.0,-121.266235,0.2270081
93.43820224719101,0.0,1,45.0,-114.86464,0.2311615
94.55056179775282,0.0,1,45.0,-108.77841,0.23541108
95.66292134831461,0.0,1,45.0,-102.99646,0.23975298
96.7752808988764,0.0,1,45.0,-97.50774,0.24418247
97.88764044943821,0.0,1,45.0,-92.30025,0.2486949
99.0,0.0,1,45.0,-87.3637,0.2532835
0.0,1.1123595505617978,1,20.085536923187668,-1579.8296,0.11460215
1.1123595505617978,1.1123595505617978,1,20.085536923187668,-1559.5935,0.11486686
2.2247191011235956,1.1123595505617978,1,20.085536923187668,-1539.3685,0.11513682
3.3370786516853936,1.1123595505617978,1,20.085536923187668,-1519.1487,0.11541229
4.449438202247191,1.1123595505617978,1,20.085536923187668,-1498.9263,0.115693554
5.561797752808989,1.1123595505617978,1,20.085536923187668,-1478.7009,0.11598083
6.674157303370787,1.1123595505617978,1,20.085536923187668,-1458.457,0.11627455
